year,jday,date (:Date),SampleNo,Stage,VSLfNo,Ht,Diameter (mm),TotLfNo,LA (cm^2),StemDW (g),LfDW (g),EarDW (g),Green,LfNo,DAS (d),shootDW (g),SLA (cm^2/g)
2002,162,2002-06-11,1,V5,5,48,,7,178.57,0.675,0.829,0,,7,27,1.504,215.4041013
2002,162,2002-06-11,2,V5,5,44,,8,220.09,0.9,1.007,0,,8,27,1.907,218.5600794
2002,162,2002-06-11,3,V5,5,40,,7,152.73,0.455,0.611,0,,7,27,1.066,249.9672668
2002,162,2002-06-11,4,V5,5,49.5,,8,306.52,1.32,1.389,0,,8,27,2.709,220.6767459
2002,162,2002-06-11,5,V5,5,51.5,,9,276.78,1.056,1.269,0,,9,27,2.325,218.108747
2002,162,2002-06-11,6,V5,5,48.5,,8,198.26,0.81,0.892,0,,8,27,1.702,222.264574
2002,162,2002-06-11,7,V5,5,49,,8,207.5,0.901,1.016,0,,8,27,1.917,204.2322835
2002,162,2002-06-11,8,V5,5,40.5,,7,135.7,0.568,0.622,0,,7,27,1.19,218.1672026
2002,162,2002-06-11,9,V4,4,39,,7,123.88,0.392,0.545,0,,7,27,0.937,227.3027523
2002,162,2002-06-11,10,V5,5,51,,8,283.17,1.368,1.632,0,,8,27,3,173.5110294
2002,170,2002-06-19,1,V6,6,84.5,23,9,942.48,4.791,5.064,0,,9,35,9.855,186.1137441
2002,170,2002-06-19,2,V6,6,68,12.9,9,527.88,2.862,2.625,0,,9,35,5.487,201.0971429
2002,170,2002-06-19,3,V6,6,68,17,9,575.5,2.623,2.777,0,,9,35,5.4,207.2380266
2002,170,2002-06-19,4,V6,6,80.3,25,9,810.16,4.567,4.429,0,,9,35,8.996,182.9216527
2002,170,2002-06-19,5,V6,6,71.5,22,9,772.39,3.801,3.551,0,,9,35,7.352,217.5133765
2002,170,2002-06-19,6,V6,6,68.5,18,9,520.7,2.295,2.364,0,,9,35,4.659,220.2622673
2002,170,2002-06-19,7,V7,7,81.2,23,10,884.64,4.56,3.813,0,,10,35,8.373,232.0062943
2002,170,2002-06-19,8,V7,7,86.4,22,10,913.63,4.189,4.381,0,,10,35,8.57,208.5437115
2002,170,2002-06-19,9,V6,6,86,23,9,1035.31,5.545,5.026,0,,9,35,10.571,205.9908476
2002,170,2002-06-19,10,V7,7,85.5,24,10,949.53,4.693,5.054,0,,10,35,9.747,187.8769292
2002,177,2002-06-26,1,V7,7,115.5,27.76,10,1786.7,13.227,9.633,0,,10,42,22.86,185.4770061
2002,177,2002-06-26,2,V8,8,129.9,26.78,11,2258.6,16.314,11.406,0,,11,42,27.72,198.0185867
2002,177,2002-06-26,3,V8,8,116.5,26.28,11,2203.96,12.783,10.844,0,,11,42,23.627,203.242346
2002,177,2002-06-26,4,V7,7,104.6,23.62,10,1553.92,9.704,6.734,0,,10,42,16.438,230.7573508
2002,177,2002-06-26,5,V8,8,123.6,26.57,11,2345.82,14.952,12.344,0,,11,42,27.296,190.0372651
2002,177,2002-06-26,6,V8,8,104.3,26.03,11,1887.66,10.106,8.443,0,,11,42,18.549,223.5769276
2002,177,2002-06-26,7,V8,8,109.5,25.47,12,1929.3,10.89,8.848,0,,12,42,19.738,218.0492767
2002,177,2002-06-26,8,V6,6,86,19.57,9,959.29,3.943,3.903,0,,9,42,7.846,245.7827312
2002,177,2002-06-26,9,V8,8,117.8,27.76,12,2255.54,16.843,10.492,0,,12,42,27.335,214.9771254
2002,177,2002-06-26,10,V9,9,136.5,30.17,12,2866.88,26.274,14.773,0,,12,42,41.047,194.0621404
2002,184,2002-07-03,1,V10,10,147.9,25.66,13,3945.08,32.085,19.71,0,,13,49,51.795,200.1562659
2002,184,2002-07-03,2,V8,8,103.3,17.34,9,1225.09,5.792,4.794,0,,9,49,10.586,255.5465165
2002,184,2002-07-03,3,V11,11,177,31.79,13,4487.4,42.021,22.703,0,,13,49,64.724,197.6566974
2002,184,2002-07-03,4,V10,10,144.7,21.09,11,3135.75,18.567,13.626,0,,11,49,32.193,230.1298987
2002,184,2002-07-03,5,V11,11,169,24.15,12,4024.16,30.571,18.842,0,,12,49,49.413,213.5739306
2002,184,2002-07-03,6,V10,10,137.5,24.3,11,3371.52,23.971,14.847,0,,11,49,38.818,227.0842594
2002,184,2002-07-03,7,V11,11,159.5,26.21,12,3933.65,35.374,19.301,0,,12,49,54.675,203.8055023
2002,184,2002-07-03,8,V11,11,141.1,21.51,12,3213.55,19.423,13.913,0,,12,49,33.336,230.974628
2002,184,2002-07-03,9,V11,11,154.9,26.13,11,3963.93,32.747,19.203,0,,11,49,51.95,206.422434
2002,184,2002-07-03,10,V13,13,153.5,31.96,14,4993.23,52.027,26.405,0,,14,49,78.432,189.1016853
2002,191,2002-07-10,1,V16,16,227.5,25.27,12,5244.77,78.754,28.785,0,,12,56,107.539,182.2049679
2002,191,2002-07-10,2,V15,15,212.8,23.3,12,4719.54,51.61,22.133,0,,12,56,73.743,213.2354403
2002,191,2002-07-10,3,V17,17,236.1,27.52,13,5272.24,95.764,30.428,0,,13,56,126.192,173.2693572
2002,191,2002-07-10,4,V17,17,236.4,28.5,12,5772.24,94.77,33.805,0,,12,56,128.575,170.7510723
2002,191,2002-07-10,5,V16,16,219.6,26.72,13,5155.77,82.689,29.412,0,,13,56,112.101,175.2947776
2002,191,2002-07-10,6,V16,16,230,27.89,12,5128.9,80.587,29.136,0,,12,56,109.723,176.0330862
2002,191,2002-07-10,7,V15,15,213.5,24.53,12,4698.46,66.461,25.095,0,,12,56,91.556,187.2269376
2002,191,2002-07-10,8,V16,16,214.5,24.46,12,4369.05,69.604,23.95,0,,12,56,93.554,182.4237996
2002,191,2002-07-10,9,V16,16,224.6,27.68,12,4856.34,81.226,28.761,0,,12,56,109.987,168.8515698
2002,191,2002-07-10,10,V14,14,201,25.85,12,5024.71,72.662,27.518,0,,12,56,100.18,182.5972091
2002,198,2002-07-17,1,R1,17,270,25.25,17,5465.22,108.78,34.504,25.216,12,17,63,168.5,158.3938094
2002,198,2002-07-17,2,R1,17,278,25.42,17,5246.61,108.371,33.924,29.676,12,17,63,171.971,154.6577644
2002,198,2002-07-17,3,R1,17,276,25.21,17,5267.81,98.82,31.337,21.684,12,17,63,151.841,168.1019242
2002,198,2002-07-17,4,R1,18,252,25.64,18,5363.49,81.404,30.81,13.461,13,18,63,125.675,174.0827653
2002,198,2002-07-17,5,R1,17,252,24.09,17,5463.58,87.633,30.181,11.128,12,17,63,128.942,181.0271363
2002,198,2002-07-17,6,R1,17,272,25.39,17,5163.58,93.038,30.56,18.086,13,17,63,141.684,168.9653141
2002,198,2002-07-17,7,R1,17,274,25.09,17,5077.02,85.104,39.31,16.033,13,17,63,140.447,129.1533961
2002,198,2002-07-17,8,V17,17,248,24.03,17,5349.57,72.74,27.775,0,12,17,63,100.515,192.6037804
2002,198,2002-07-17,9,R1,17,261,23.78,17,4869.25,78.78,26.694,13.248,12,17,63,118.722,182.4099048
2002,198,2002-07-17,10,R1,17,282,25.77,17,5407.95,96.787,32.655,29.39,12,17,63,158.832,165.6086357
2002,210,2002-07-29,1,R2,,295,25.5,,5171.09,94.981,30.917,37.77,11,,75,163.668,167.2571724
2002,210,2002-07-29,2,R2,,287,28.1,,5798.92,108.217,35.972,77.604,13,,75,221.793,161.2064939
2002,210,2002-07-29,3,R2,,285,26.85,,5546.27,89.961,34.05,72.125,13,,75,196.136,162.8860499
2002,210,2002-07-29,4,R2,,259,22.3,,3057.09,51.528,16.245,29.524,19,,75,97.297,188.1865189
2002,210,2002-07-29,5,R2,,275,26.55,,5278.65,88.576,33.469,69.04,11,,75,191.085,157.7175894
2002,210,2002-07-29,6,R2,,275,26.18,,4456.78,74.635,27.081,59.822,11,,75,161.538,164.5722093
2002,210,2002-07-29,7,R2,,273,23.4,,3902.95,59.776,23.253,25.318,10,,75,108.347,167.8471595
2002,210,2002-07-29,8,R2,,290,26.01,,5364.61,89.991,30.507,55.028,11,,75,175.526,175.8484938
2002,210,2002-07-29,9,R2,,280,25.19,,4788.06,73.626,27.935,49.145,10,,75,150.706,171.4000358
2002,210,2002-07-29,10,R2,,299,23.59,,5228.83,89.714,29.495,29.947,11,,75,149.156,177.2785218
2002,210,2002-07-29,11,R2,,270,25.08,,4726.94,70.163,26.302,56.648,10,,75,153.113,179.7178922
2002,221,2002-08-09,1,R3,,283,24.4,,4408.02,83.057,29.841,103.727,11,,86,216.625,147.7168996
2002,221,2002-08-09,2,R3,,275,23.76,,4423.85,83.201,30.651,112.025,10,,86,225.877,144.3297119
2002,221,2002-08-09,3,R3,,282,25,,4457.01,99.111,30.713,126.244,11,,86,256.068,145.1180282
2002,221,2002-08-09,4,R3,,282,24.01,,5105.85,112.034,33.987,138.599,12,,86,284.62,150.2294995
2002,221,2002-08-09,5,R3,,284,26.82,,5098.81,105.217,34.629,158.308,11,,86,298.154,147.2410407
2002,221,2002-08-09,6,R3,,280,23.92,,4888.97,82.655,30.289,127.831,11,,86,240.775,161.4107432
2002,221,2002-08-09,7,R3,,279,26.55,,4940.73,108.96,35.462,133.247,11,,86,277.669,139.3246292
2002,221,2002-08-09,8,R3,,281,24.09,,4427.4,71.659,26.802,95.4,10,,86,193.861,165.189165
2002,221,2002-08-09,9,R3,,280,24.26,,5028.48,94.693,31.754,131.145,11,,86,257.592,158.3573723
2002,221,2002-08-09,10,R3,,287,23.9,,4577.85,81.08,26.476,87.181,11,,86,194.737,172.9056504
2002,233,2002-08-21,1,R5,,277,24.52,,4143.73,95.804,30.293,191.22,10,,98,317.317,136.7883669
2002,233,2002-08-21,2,R5,,271,26.03,,4658.99,90.2,33.17,192.251,10,,98,315.621,140.4579439
2002,233,2002-08-21,3,R5,,292,23.43,,4867.28,103.285,36.04,182.931,11,,98,322.256,135.0521643
2002,233,2002-08-21,4,R5,,282,26.81,,4952.96,93.804,38.05,247.81,11,,98,379.664,130.1697766
2002,233,2002-08-21,5,R5,,275,22.79,,4133.91,71.82,27.48,157.842,10,,98,257.142,150.4334061
2002,233,2002-08-21,6,R5,,268,24.22,,4453.93,102.494,33.389,199.324,9,,98,335.207,133.3951301
