"Seattle, Seattle, King, WA"
"2023-01-01 through 2023-12-31"
Date,1.5 m Min Air Temp,1.5 m Avg Air Temp,1.5 m Max Air Temp,9 m Min Air Temp,9 m Avg Air Temp,9 m Max Air Temp,1.5 m Avg Dew Point,1.5 m Avg Rel. Hum,Solar Radiation,Precipiation,2 m Avg Wind Speed,2 m Max Wind Gust,10 m Avg Wind Speed,10 m Max Wind Gust,10 m Avg Wind Dir,2 in Avg Soil Temperature,2 in Avg Soil Water Pot,8 in Avg Soil Temperature,8 in Avg Soil Water Pot,ETo,ETr,
2023-01-01,36.5,42.9,48.1,NA,NA,NA,41.1,93.5,3.28,0.04,0.6,6.4,1.0,4.4,N ,45.2,    0,45.8,    0,0.01,0.01,
2023-01-02,32.5,38.1,49.5,NA,NA,NA,33.9,86.1,4.86,0.00,0.9,6.4,1.0,2.9,N ,42.8,    0,44.0,    0,0.00,0.01,
2023-01-03,34.7,41.3,49.2,36.1,41.6,48.1,34.9,78.3,3.64,0.00,1.4,8.2,2.0,7.6,SE,42.8,    0,43.4,    0,0.01,0.02,
2023-01-04,34.9,45.4,53.3,36.7,45.9,53.0,32.2,62.2,3.09,0.01,3.0,24.9,4.3,10.3,E,42.4,    0,42.9,    0,0.03,0.05,
2023-01-05,44.8,52.5,57.5,45.4,52.8,57.1,38.5,60.6,1.48,0.01,2.9,17.1,4.5,9.2,SE,44.4,    0,44.3,    0,0.04,0.06,
2023-01-06,40.2,48.0,52.6,41.4,48.2,51.9,42.3,81.0,2.71,0.06,2.1,11.7,2.8,7.6,SE,44.8,    0,45.1,    0,0.02,0.02,
2023-01-07,40.2,45.8,47.8,41.5,45.6,47.0,44.7,96.1,1.06,0.29,1.0,5.8,1.3,2.8,N,45.4,    0,45.6,    0,0.00,0.00,
2023-01-08,38.2,44.0,49.3,38.7,44.1,48.9,42.4,94.3,1.12,0.30,1.5,11.7,2.6,9.2,SE,44.2,    0,44.9,    0,0.01,0.01,
2023-01-09,42.8,47.6,54.6,42.5,46.9,54.3,41.3,80.9,1.40,0.49,2.4,20.1,4.0,12.2,SE,44.4,    0,44.7,    0,0.02,0.03,
2023-01-10,40.1,46.2,56.2,41.5,46.6,55.0,40.8,82.6,5.98,0.03,2.0,11.7,2.3,7.1,N ,44.8,    0,45.1,    0,0.01,0.02,
2023-01-11,40.9,48.0,58.2,42.3,48.6,56.8,40.3,77.0,4.91,0.05,1.4,10.5,1.8,6.4,E,45.1,    0,45.1,    0,0.01,0.02,
2023-01-12,45.8,48.7,51.3,45.8,48.7,51.3,47.8,96.6,0.89,0.64,0.7,7.0,0.9,3.4,NE,46.3,    0,46.5,    0,0.00,0.00,
2023-01-13,47.0,49.7,53.2,47.6,49.4,53.0,48.9,97.0,1.35,0.30,1.0,12.9,2.1,8.9,SE,47.2,    0,47.4,    0,0.01,0.01,
2023-01-14,42.1,50.3,59.6,43.4,50.4,58.2,44.4,82.3,5.89,0.03,1.1,11.7,1.6,3.9,NE,47.3,    0,47.4,    0,0.01,0.02,
2023-01-15,42.5,46.4,49.3,43.6,46.4,48.7,44.1,91.7,1.67,0.28,1.8,13.5,2.9,10.6,SE,46.7,    0,47.2,    0,0.01,0.01,
