time,T,Tb,To,GDD_rating,GD,GDD,cGDD,KD,KDD,cKDD,t,Tavg,Tmin,Tmax,solrad,DLI,solrad_sum
0.0 hr,14.9 °C,10.0 °C,30.0 °C,1500.0 K,4.9 K,4.9 K d^-1,0.0 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-15,14.9 °C,8.6 °C,22.1 °C,25.55712 MJ d^-1 m^-2,52.9032384 mol d^-1 m^-2,0.0 MJ m^-2
24.0 hr,18.0 °C,10.0 °C,30.0 °C,1500.0 K,8.0 K,8.0 K d^-1,4.9 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-16,18.0 °C,4.9 °C,27.7 °C,25.73856 MJ d^-1 m^-2,53.278819199999994 mol d^-1 m^-2,25.55712 MJ m^-2
48.0 hr,21.3 °C,10.0 °C,30.0 °C,1500.0 K,11.3 K,11.3 K d^-1,12.9 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-17,21.3 °C,14.3 °C,27.3 °C,19.37088 MJ d^-1 m^-2,40.0977216 mol d^-1 m^-2,51.29568 MJ m^-2
72.0 hr,12.5 °C,10.0 °C,30.0 °C,1500.0 K,2.5 K,2.5 K d^-1,24.200000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-18,12.5 °C,8.0 °C,17.7 °C,8.27712 MJ d^-1 m^-2,17.1336384 mol d^-1 m^-2,70.66656 MJ m^-2
96.0 hr,9.6 °C,10.0 °C,30.0 °C,1500.0 K,0.0 K,0.0 K d^-1,26.700000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-19,9.6 °C,4.0 °C,15.6 °C,27.207359999999998 MJ d^-1 m^-2,56.319235199999994 mol d^-1 m^-2,78.94368 MJ m^-2
120.0 hr,10.1 °C,10.0 °C,30.0 °C,1500.0 K,0.09999999999999964 K,0.09999999999999964 K d^-1,26.700000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-20,10.1 °C,4.3 °C,15.6 °C,24.589440000000003 MJ d^-1 m^-2,50.9001408 mol d^-1 m^-2,106.15104 MJ m^-2
144.0 hr,8.8 °C,10.0 °C,30.0 °C,1500.0 K,0.0 K,0.0 K d^-1,26.800000000000004 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-21,8.8 °C,2.6 °C,14.5 °C,23.76 MJ d^-1 m^-2,49.1832 mol d^-1 m^-2,130.74048 MJ m^-2
168.0 hr,11.6 °C,10.0 °C,30.0 °C,1500.0 K,1.5999999999999996 K,1.5999999999999996 K d^-1,26.800000000000004 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-22,11.6 °C,1.4 °C,20.1 °C,27.648000000000003 MJ d^-1 m^-2,57.23136 mol d^-1 m^-2,154.50047999999998 MJ m^-2
192.0 hr,14.7 °C,10.0 °C,30.0 °C,1500.0 K,4.699999999999999 K,4.699999999999999 K d^-1,28.400000000000006 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-23,14.7 °C,3.0 °C,24.0 °C,27.5184 MJ d^-1 m^-2,56.963088 mol d^-1 m^-2,182.14847999999998 MJ m^-2
216.0 hr,20.1 °C,10.0 °C,30.0 °C,1500.0 K,10.100000000000001 K,10.100000000000001 K d^-1,33.10000000000001 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-24,20.1 °C,7.1 °C,29.5 °C,25.54848 MJ d^-1 m^-2,52.8853536 mol d^-1 m^-2,209.66687999999996 MJ m^-2
240.0 hr,20.3 °C,10.0 °C,30.0 °C,1500.0 K,10.3 K,10.3 K d^-1,43.20000000000001 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-25,20.3 °C,16.1 °C,24.6 °C,19.535040000000002 MJ d^-1 m^-2,40.43753280000001 mol d^-1 m^-2,235.21535999999998 MJ m^-2
264.0 hr,20.2 °C,10.0 °C,30.0 °C,1500.0 K,10.2 K,10.2 K d^-1,53.500000000000014 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-26,20.2 °C,15.5 °C,27.8 °C,15.828479999999999 MJ d^-1 m^-2,32.76495359999999 mol d^-1 m^-2,254.75039999999998 MJ m^-2
288.0 hr,21.6 °C,10.0 °C,30.0 °C,1500.0 K,11.600000000000001 K,11.600000000000001 K d^-1,63.70000000000002 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-27,21.6 °C,17.2 °C,27.7 °C,17.57376 MJ d^-1 m^-2,36.3776832 mol d^-1 m^-2,270.57887999999997 MJ m^-2
312.0 hr,21.4 °C,10.0 °C,30.0 °C,1500.0 K,11.399999999999999 K,11.399999999999999 K d^-1,75.30000000000001 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-28,21.4 °C,15.9 °C,28.0 °C,17.763840000000002 MJ d^-1 m^-2,36.7711488 mol d^-1 m^-2,288.15263999999996 MJ m^-2
336.0 hr,21.8 °C,10.0 °C,30.0 °C,1500.0 K,11.8 K,11.8 K d^-1,86.70000000000002 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-29,21.8 °C,15.3 °C,27.7 °C,18.126720000000002 MJ d^-1 m^-2,37.5223104 mol d^-1 m^-2,305.91648 MJ m^-2
360.0 hr,21.7 °C,10.0 °C,30.0 °C,1500.0 K,11.7 K,11.7 K d^-1,98.50000000000001 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-30,21.7 °C,13.8 °C,29.0 °C,22.066560000000003 MJ d^-1 m^-2,45.6777792 mol d^-1 m^-2,324.04319999999996 MJ m^-2
