time,Δt,t,DATE,DOY,DOYP,TMAX,TMIN,TMN,PAR,SWFAC,EMP1,EMP2,Fc,sla,INTOT,LAI0,Lfmax,N0,nb,p1,PD,rm,tb,W0,Wc0,Wr0,PT,RUE,Pg,ROWSPC,Y1,P,VP,RP,FL,dN,N,di,INT,__Plant__a,dLAI1,dLAI2,dLAI,LAI,E,dW,W,Wc,Wr,Wf,endsim,SRAD,RAIN,IRR,CN,DP,DRNp,WPp,FCp,STp,SWC0,WP,FC,ST,S,POTINF,ROF,INF,THE,TRAIN,TIRR,TESa,TEPa,TROF,TDRN,TINF,DRN,αs,αc,ALB,Tmed,EEQ,f,ETp,ESp,EPp,__SoilWater__a,ESa,EPa,dSWC,dROF_extra,dSWC_ADJ,SWC_ADJ,SWC,ΔSWC,Fi,Fo,WATBAL,CHECK,SWFAC1,WTABLE,DWT,STRESS_DEPTH,SWFAC2
0.0 hr,24.0 hr,0.0 d,1987-01-01,1 d,121 d,20.0 °C,4.4 °C,12.199999999999989 °C,2.55 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.7549750000000001,2.1 g MJ⁻¹,0.0071736846153588885 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.03586842307679444 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,5.1 MJ d⁻¹ m⁻²,23.9 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,23.9 mm d⁻¹,0.0 mm d⁻¹,23.9 mm d⁻¹,206.62500000000003 mm,0.0 mm,0.0 mm,0.0 mm,0.0 mm,0.0 mm,0.0 mm,0.0 mm,0.0 mm d⁻¹,0.1,0.2,0.1009058720309957,13.759999999999991 °C,0.9680483790927326 mm d⁻¹,1.1,1.064853217002006 mm d⁻¹,1.055207009538027 mm d⁻¹,0.009646207463979027 mm d⁻¹,0.9999999999999998,1.0552070095380268 mm d⁻¹,0.009646207463979027 mm d⁻¹,22.83514678299799 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,246.5 mm,0.0 mm,0.0 mm,0.0 mm,0.0 mm,0.0 mm,1.0,0.0 mm,1450.0 mm,250.0 mm,1.0
24.0 hr,24.0 hr,1.0 d,1987-01-02,2 d,121 d,13.3 °C,1.1 °C,7.2000000000000455 °C,5.4 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.37984375000000015,2.1 g MJ⁻¹,0.0076430776681073 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.038215388340536505 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,10.8 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,23.9 mm,0.0 mm,1.0552070095380266 mm,0.009646207463979026 mm,0.0 mm,0.0 mm,23.9 mm,2.2835146782997953 mm d⁻¹,0.1,0.2,0.1009058720309957,8.420000000000016 °C,1.7939764106688532 mm d⁻¹,1.1,1.9733740517357385 mm d⁻¹,1.955497808134138 mm d⁻¹,0.0178762436016005 mm d⁻¹,1.0,1.955497808134138 mm d⁻¹,0.0178762436016005 mm d⁻¹,-4.256888730035534 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,269.335146782998 mm,-22.83514678299798 mm,23.9 mm,1.0648532170020055 mm,1.199040866595169e-14 mm,23.9 mm,1.0,207.59224348179964 mm,1242.4077565182004 mm,250.0 mm,1.0
48.0 hr,24.0 hr,2.0 d,1987-01-03,3 d,121 d,14.4 °C,1.1 °C,7.75 °C,6.05 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.4431109375000001,2.1 g MJ⁻¹,0.009989353288393826 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.04994676644196913 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,12.1 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,23.9 mm,0.0 mm,3.0107048176721647 mm,0.027522451065579524 mm,0.0 mm,2.2835146782997953 mm,23.9 mm,1.8578258052962413 mm d⁻¹,0.1,0.2,0.1009058720309957,9.079999999999984 °C,2.045368199791816 mm d⁻¹,1.1,2.2499050197709978 mm d⁻¹,2.229523759472924 mm d⁻¹,0.02038126029807355 mm d⁻¹,1.0,2.229523759472924 mm d⁻¹,0.02038126029807355 mm d⁻¹,-4.1077308250672395 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,265.07825805296244 mm,-18.57825805296244 mm,23.9 mm,5.321741947037539 mm,1.9539925233402755e-14 mm,23.9 mm,1.0,168.89325502693106 mm,1281.1067449730688 mm,250.0 mm,1.0
72.0 hr,24.0 hr,3.0 d,1987-01-04,4 d,121 d,18.3 °C,6.1 °C,12.200000000000045 °C,1.8 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.7110937500000001,2.1 g MJ⁻¹,0.004769456529213809 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.023847282646069046 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,3.6 MJ d⁻¹ m⁻²,14.7 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,14.7 mm d⁻¹,0.0 mm d⁻¹,14.7 mm d⁻¹,206.62500000000003 mm,23.9 mm,0.0 mm,5.240228577145089 mm,0.047903711363653075 mm,0.0 mm,4.141340483596037 mm,23.9 mm,1.4470527227895191 mm d⁻¹,0.1,0.2,0.1009058720309957,13.420000000000016 °C,0.6778948809956595 mm d⁻¹,1.1,0.7456843690952255 mm d⁻¹,0.7389294229560852 mm d⁻¹,0.006754946139140326 mm d⁻¹,1.0,0.7389294229560852 mm d⁻¹,0.006754946139140326 mm d⁻¹,12.507262908115255 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,260.9705272278952 mm,-14.470527227895218 mm,23.9 mm,9.429472772104779 mm,1.7763568394002505e-15 mm,23.9 mm,1.0,131.55024752631994 mm,1318.44975247368 mm,250.0 mm,1.0
96.0 hr,24.0 hr,4.0 d,1987-01-05,5 d,121 d,17.2 °C,5.6 °C,11.399999999999977 °C,6.4 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.657775,2.1 g MJ⁻¹,0.015686529314425154 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.07843264657212577 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,12.8 MJ d⁻¹ m⁻²,0.8 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.8 mm d⁻¹,0.0 mm d⁻¹,0.8 mm d⁻¹,206.62500000000003 mm,38.599999999999994 mm,0.0 mm,5.979158000101174 mm,0.054658657502793404 mm,0.0 mm,5.588393206385556 mm,38.599999999999994 mm,2.6977790136010444 mm d⁻¹,0.1,0.2,0.1009058720309957,12.560000000000002 °C,2.361427943144605 mm d⁻¹,1.1,2.5975707374590655 mm d⁻¹,2.5740400706630955 mm d⁻¹,0.023530666795970195 mm d⁻¹,1.0,2.5740400706630955 mm d⁻¹,0.023530666795970195 mm d⁻¹,-4.49534975106011 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,273.47779013601047 mm,-26.97779013601047 mm,38.599999999999994 mm,11.622209863989523 mm,1.7763568394002505e-15 mm,38.599999999999994 mm,1.0,245.25263760009497 mm,1204.747362399905 mm,250.0 mm,1.0
120.0 hr,24.0 hr,5.0 d,1987-01-06,6 d,121 d,21.1 °C,5.0 °C,13.050000000000011 °C,6.2 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.8008609375000002,2.1 g MJ⁻¹,0.018501985184857322 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.09250992592428661 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,12.4 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,39.39999999999999 mm,0.0 mm,8.55319807076427 mm,0.0781893242987636 mm,0.0 mm,8.2861722199866 mm,39.39999999999999 mm,2.248244038495031 mm d⁻¹,0.1,0.2,0.1009058720309957,14.659999999999968 °C,2.4032259563947416 mm d⁻¹,1.1,2.643548552034216 mm d⁻¹,2.6196013850755464 mm d⁻¹,0.023947166958669545 mm d⁻¹,1.0,2.6196013850755464 mm d⁻¹,0.023947166958669545 mm d⁻¹,-4.891792590529247 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,268.98244038495034 mm,-22.482440384950337 mm,39.39999999999999 mm,16.917559615049633 mm,2.1316282072803006e-14 mm,39.39999999999999 mm,1.0,204.38582168136648 mm,1245.6141783186333 mm,250.0 mm,1.0
144.0 hr,24.0 hr,6.0 d,1987-01-07,7 d,121 d,21.7 °C,7.2 °C,14.449999999999989 °C,5.55 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.8429859375,2.1 g MJ⁻¹,0.017433429956183407 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.08716714978091704 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,11.1 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,39.39999999999999 mm,0.0 mm,11.172799455839815 mm,0.10213649125743315 mm,0.0 mm,10.534416258481631 mm,39.39999999999999 mm,1.7590647794421075 mm d⁻¹,0.1,0.2,0.1009058720309957,15.899999999999977 °C,2.2123738130561215 mm d⁻¹,1.1,2.433611194361734 mm d⁻¹,2.411565791208831 mm d⁻¹,0.02204540315290314 mm d⁻¹,1.0,2.411565791208831 mm d⁻¹,0.02204540315290314 mm d⁻¹,-4.1926759738038415 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,264.0906477944211 mm,-17.590647794421102 mm,39.39999999999999 mm,21.80935220557888 mm,1.0658141036401503e-14 mm,39.39999999999999 mm,1.0,159.91497994928253 mm,1290.0850200507175 mm,250.0 mm,1.0
168.0 hr,24.0 hr,7.0 d,1987-01-08,8 d,121 d,21.7 °C,8.3 °C,15.0 °C,6.0 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.8536937499999999,2.1 g MJ⁻¹,0.019086349865431573 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.09543174932715787 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,12.0 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,39.39999999999999 mm,0.0 mm,13.584365247048646 mm,0.1241818944103363 mm,0.0 mm,12.293481037923739 mm,39.39999999999999 mm,1.3397971820617245 mm d⁻¹,0.1,0.2,0.1009058720309957,16.339999999999975 °C,2.4151936118452912 mm d⁻¹,1.1,2.6567129730298205 mm d⁻¹,2.632646553263309 mm d⁻¹,0.02406641976651125 mm d⁻¹,1.0,2.632646553263309 mm d⁻¹,0.02406641976651125 mm d⁻¹,-3.9965101550915447 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,259.8979718206173 mm,-13.397971820617272 mm,39.39999999999999 mm,26.00202817938272 mm,0.0 mm,39.39999999999999 mm,1.0,121.79974382379314 mm,1328.2002561762067 mm,250.0 mm,1.0
192.0 hr,24.0 hr,8.0 d,1987-01-09,9 d,121 d,20.0 °C,8.3 °C,14.149999999999977 °C,3.05 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.8008609375,2.1 g MJ⁻¹,0.009101783034486258 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.04550891517243129 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,6.1 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,39.39999999999999 mm,0.0 mm,16.217011800311955 mm,0.14824831417684753 mm,0.0 mm,13.633278219985463 mm,39.39999999999999 mm,0.9401461665525688 mm d⁻¹,0.1,0.2,0.1009058720309957,15.319999999999993 °C,1.200103704142035 mm d⁻¹,1.1,1.3201140745562387 mm d⁻¹,1.3081555303775962 mm d⁻¹,0.011958544178642574 mm d⁻¹,1.0,1.3081555303775962 mm d⁻¹,0.011958544178642574 mm d⁻¹,-2.2602602411088073 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,255.90146166552572 mm,-9.401461665525716 mm,39.39999999999999 mm,29.998538334474265 mm,1.0658141036401503e-14 mm,39.39999999999999 mm,1.0,85.46783332296081 mm,1364.5321666770392 mm,250.0 mm,1.0
216.0 hr,24.0 hr,9.0 d,1987-01-10,10 d,121 d,23.3 °C,11.1 °C,17.200000000000045 °C,1.75 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.91734375,2.1 g MJ⁻¹,0.005981907364104956 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.02990953682052478 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,3.5 MJ d⁻¹ m⁻²,3.8 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,3.8 mm d⁻¹,0.0 mm d⁻¹,3.8 mm d⁻¹,206.62500000000003 mm,39.39999999999999 mm,0.0 mm,17.525167330689552 mm,0.1602068583554901 mm,0.0 mm,14.573424386538033 mm,39.39999999999999 mm,0.7141201424416892 mm d⁻¹,0.1,0.2,0.1009058720309957,18.420000000000016 °C,0.7367476910710986 mm d⁻¹,1.1,0.8104224601782085 mm d⁻¹,0.8030810697785469 mm d⁻¹,0.007341390399661586 mm d⁻¹,1.0,0.8030810697785469 mm d⁻¹,0.007341390399661586 mm d⁻¹,2.2754573973801016 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,253.64120142441692 mm,-7.14120142441692 mm,39.39999999999999 mm,32.25879857558307 mm,0.0 mm,39.39999999999999 mm,1.0,64.92001294924448 mm,1385.0799870507556 mm,250.0 mm,1.0
