year,jday,time,Tair,RH,Wind,SolRad,Rain
2014,1,1:00,4.9,94.3,0.2,0,0
2014,1,2:00,5.2,94.4,0.2,0,0
2014,1,3:00,5.1,94.6,0.6,0,0
2014,1,4:00,4.2,94.6,0.6,0,0
2014,1,5:00,3.9,94.6,1,0,0
2014,1,6:00,3.3,94.5,0.2,0,0
2014,1,7:00,2.9,94.4,0.2,0,0
2014,1,8:00,2.1,94.3,0.2,1,0
2014,1,9:00,2.5,94.6,0.3,44,0
2014,1,10:00,3.6,94.8,0.4,56,0
2014,1,11:00,4.2,94.6,0.3,148,0
2014,1,12:00,5,94.3,1.2,266,0
2014,1,13:00,5.1,93.8,0.7,167,0
2014,1,14:00,5.7,92.4,0.4,138,0
2014,1,15:00,6.2,90.3,0.9,105,0
2014,1,16:00,6.2,89.4,0.4,42,0
2014,1,17:00,6.1,89.5,0,3,0
2014,1,18:00,6.1,90.5,0,0,0
2014,1,19:00,5.9,91.1,0,0,0
2014,1,20:00,5.9,91.5,0.1,0,0
2014,1,21:00,6,91.4,0.8,0,0
2014,1,22:00,5.9,90.3,0.3,0,0
2014,1,23:00,5.5,90,0.1,0,0
2014,2,0:00,5.4,91.1,0.1,0,0
2014,2,1:00,5.4,91.6,0.1,0,0
2014,2,2:00,5.6,92.1,0.1,0,0.25
2014,2,3:00,6.1,92.5,0.4,0,0.51
2014,2,4:00,6.1,92.7,0.4,0,0.25
2014,2,5:00,5.9,93.2,0,0,0
2014,2,6:00,6,93.4,0,0,0
2014,2,7:00,5.9,93.5,0,0,0
2014,2,8:00,5.7,93.6,0,0,0
2014,2,9:00,6,93.8,0.3,7,0
2014,2,10:00,6.6,93.6,0.9,21,0
2014,2,11:00,7.3,91.3,1.3,38,0
2014,2,12:00,7.7,85.5,1.6,46,0
2014,2,13:00,8.1,81.7,1.4,41,0
2014,2,14:00,8.5,80,1,29,0
2014,2,15:00,8.8,79,0.9,13,0
2014,2,16:00,10.1,66,2.2,5,0
2014,2,17:00,10,68.2,1.5,1,0
2014,2,18:00,9.8,71.3,1.6,0,0
2014,2,19:00,9,80.9,1.4,0,0.25
2014,2,20:00,8.9,82.9,1.8,0,0.76
2014,2,21:00,8.3,88.1,1.2,0,3.81
2014,2,22:00,7.7,91.7,0.5,0,2.79
2014,2,23:00,7.8,93,1.2,0,0.51
2014,3,0:00,7.8,92.1,1.5,0,0.51
2014,3,1:00,6.4,83.3,1,0,0
2014,3,2:00,4.1,88.1,0.3,0,0
2014,3,3:00,3.5,90.6,0.8,0,0
2014,3,4:00,3,90.2,0.7,0,0
2014,3,5:00,4.3,91,1.5,0,0
2014,3,6:00,5.6,86.7,1.3,0,0
2014,3,7:00,4.4,84.6,0.9,0,0
2014,3,8:00,4.8,84.7,1.2,0,0
2014,3,9:00,4.9,82.5,1.7,9,0
2014,3,10:00,5.4,78.9,1.2,117,0
2014,3,11:00,6.4,72.1,1,196,0
2014,3,12:00,6.9,69.3,1.6,296,0
2014,3,13:00,7.6,65.6,1.4,320,0
2014,3,14:00,8,61.9,1.2,286,0
2014,3,15:00,7.6,61.5,1.1,124,0
2014,3,16:00,7.4,63,0.7,55,0
2014,3,17:00,6.8,69.1,0.7,4,0
2014,3,18:00,4.9,78.1,0.9,0,0.25
2014,3,19:00,3.6,88.5,0,0,0
2014,3,20:00,4,90.3,0.4,0,0
2014,3,21:00,3.1,91.1,0.1,0,0
2014,3,22:00,3.4,92.1,0,0,0.25
2014,3,23:00,3.7,92.6,0,0,0
2014,4,0:00,3.9,92.9,0.1,0,0
2014,4,1:00,3.4,93.1,0.4,0,0
2014,4,2:00,2.8,93.2,0.7,0,0
2014,4,3:00,2.7,93.4,0.1,0,0
2014,4,4:00,2.8,93.5,0.1,0,0
2014,4,5:00,2.8,93.5,0.1,0,0
2014,4,6:00,2.9,93.4,0.3,0,0
2014,4,7:00,2.3,92.2,0.6,0,0
2014,4,8:00,0.7,91.7,0,1,0
2014,4,9:00,1.2,92.2,0.4,31,0
2014,4,10:00,3.1,89.7,0.9,174,0
2014,4,11:00,4.5,80.3,1.3,216,0
2014,4,12:00,5.9,72.2,1.3,308,0
2014,4,13:00,7,62.6,1.2,320,0
2014,4,14:00,7.6,57.9,1.6,272,0
2014,4,15:00,7.6,58.9,1.5,177,0
2014,4,16:00,6.5,67.7,1.5,63,0
2014,4,17:00,5.2,67.7,1,6,0
2014,4,18:00,2.8,78.2,0.2,0,0
2014,4,19:00,2.6,78.3,0.9,0,0
2014,4,20:00,1.3,81.7,0.2,0,0
2014,4,21:00,0.5,86,0.3,0,0
2014,4,22:00,0,88.3,0.6,0,0
2014,4,23:00,-0.7,89.4,0.3,0,0
2014,5,0:00,-1,90.4,0.9,0,0
2014,5,1:00,-1.1,90.8,0.4,0,0
2014,5,2:00,-1.4,91,0.6,0,0
2014,5,3:00,-1.7,91.2,0.8,0,0
2014,5,4:00,-1.6,91.3,0.7,0,0
