"Seattle, Seattle, King, WA"
"2022-01-01 through 2022-12-31"
Date,1.5 m Min Air Temp,1.5 m Avg Air Temp,1.5 m Max Air Temp,9 m Min Air Temp,9 m Avg Air Temp,9 m Max Air Temp,1.5 m Avg Dew Point,1.5 m Avg Rel. Hum,Solar Radiation,Precipiation,2 m Avg Wind Speed,2 m Max Wind Gust,10 m Avg Wind Speed,10 m Max Wind Gust,10 m Avg Wind Dir,2 in Avg Soil Temperature,2 in Avg Soil Water Pot,8 in Avg Soil Temperature,8 in Avg Soil Water Pot,ETo,ETr,
2022-01-01,19.9,30.3,36.2,NA,NA,NA,23.1,76.3,4.26,0.07,2.2,10.3,NA,NA,NA,NA,NA,39.1,NA,0.01,0.01,
2022-01-02,31.2,36.9,40.5,NA,NA,NA,31.9,82.5,1.19,1.55,2.0,11.0,NA,NA,NA,NA,NA,39.1,NA,0.01,0.01,
2022-01-03,34.8,37.6,40.8,NA,NA,NA,34.7,89.1,2.13,0.66,3.9,15.7,NA,NA,NA,NA,NA,39.5,NA,0.02,0.02,
2022-01-04,36.4,39.1,42.5,NA,NA,NA,35.9,88.4,3.20,0.22,2.9,12.4,NA,NA,NA,NA,NA,39.6,NA,0.01,0.02,
2022-01-05,34.1,37.0,39.1,NA,NA,NA,34.9,92.1,1.28,0.26,0.5,6.0,NA,NA,NA,NA,NA,40.4,NA,0.01,0.01,
2022-01-06,35.8,46.1,50.8,NA,NA,NA,44.7,94.7,0.71,1.41,3.9,14.2,NA,NA,NA,NA,NA,41.5,NA,0.00,0.00,
2022-01-07,37.9,43.2,48.4,NA,NA,NA,39.5,87.2,1.01,0.96,2.4,12.1,NA,NA,NA,NA,NA,43.6,NA,0.01,0.02,
2022-01-08,33.4,39.9,45.6,NA,NA,NA,35.3,84.0,3.09,0.00,1.5,9.6,NA,NA,NA,NA,NA,42.6,NA,0.01,0.02,
2022-01-09,30.3,37.0,52.0,NA,NA,NA,33.6,87.7,6.27,0.00,0.3,4.2,NA,NA,NA,NA,NA,41.7,NA,0.00,0.00,
2022-01-10,30.6,39.6,45.1,NA,NA,NA,38.3,95.2,1.26,0.25,0.3,8.5,NA,NA,NA,NA,NA,40.8,NA,0.00,0.00,
2022-01-11,43.5,49.1,51.7,NA,NA,NA,48.3,97.0,1.50,0.89,1.2,10.7,NA,NA,NA,NA,NA,42.8,NA,0.01,0.01,
2022-01-12,42.4,50.8,55.3,NA,NA,NA,49.7,96.2,1.75,0.08,0.5,10.3,NA,NA,NA,NA,NA,45.4,NA,0.01,0.01,
2022-01-13,39.8,47.0,54.1,NA,NA,NA,45.0,93.2,3.46,0.23,0.3,6.4,NA,NA,NA,NA,NA,45.6,NA,0.01,0.01,
2022-01-14,38.0,42.1,49.3,NA,NA,NA,41.0,96.0,3.91,0.00,0.3,5.3,NA,NA,NA,NA,NA,44.9,NA,0.01,0.01,
2022-01-15,40.3,42.2,44.5,NA,NA,NA,41.5,97.1,2.23,0.00,0.6,6.4,NA,NA,NA,NA,NA,44.5,NA,0.01,0.01,
2022-01-16,39.6,40.9,42.6,NA,NA,NA,39.0,93.1,2.05,0.00,0.8,6.0,NA,NA,NA,NA,NA,44.8,NA,0.01,0.01,
2022-01-17,40.3,44.3,49.3,NA,NA,NA,40.7,87.6,3.54,0.00,1.5,11.0,NA,NA,NA,NA,NA,44.9,NA,0.01,0.02,
2022-01-18,45.0,46.3,47.6,NA,NA,NA,44.5,93.3,1.28,0.01,1.2,9.2,NA,NA,NA,NA,NA,45.6,NA,0.01,0.01,
2022-01-19,43.0,46.1,49.5,NA,NA,NA,44.1,92.9,2.52,0.04,0.2,5.7,NA,NA,NA,NA,NA,45.9,NA,0.01,0.01,
2022-01-20,41.5,48.9,53.2,NA,NA,NA,46.4,91.4,2.54,0.23,2.6,16.4,NA,NA,NA,NA,NA,47.0,NA,0.01,0.02,
2022-01-21,35.3,43.5,50.7,NA,NA,NA,40.4,89.4,5.88,0.00,0.4,5.3,NA,NA,NA,NA,NA,46.9,NA,0.01,0.01,
2022-01-22,33.4,38.0,43.9,NA,NA,NA,36.3,93.7,6.77,0.00,1.1,7.1,NA,NA,NA,NA,NA,45.7,NA,0.01,0.01,
