obs_yield,precip,rad,maxt,mint,sat,hyd,clay,bulk,water,lat,long,elev
,384.39,19.44,25.94,12.48,0.43,753.36,0.04,1.23,1,43.48,-70.72,92.36
,384.39,19.44,25.94,12.48,0.48,717.67,0.04,1.13,1,43.48,-70.72,92.36
,384.39,19.44,25.94,12.48,0.41,1018.21,0.04,1.34,1,43.48,-70.72,92.36
,344.22,19.27,23.72,11.25,0.47,124.82,0.07,1.08,1,44.97,-70.44,471.2
,344.22,19.27,23.72,11.25,0.43,94.35,0.08,1.13,1,44.97,-70.44,471.2
,344.22,19.27,23.72,11.25,0.43,72.21,0.08,1.2,1,44.97,-70.44,471.2
29.15,338.68,19.92,24.77,13.87,0.43,504.38,0.03,1.29,1,44.17,-70.21,103.48
29.15,338.68,19.92,24.77,13.87,0.4,69.36,0.1,1.33,1,44.17,-70.21,103.48
29.15,338.68,19.92,24.77,13.87,0.39,71.27,0.07,1.24,1,44.17,-70.21,103.48
21.14,374.99,19.61,24.8,12.18,0.39,18.84,0.26,1.44,1,44.5,-69.15,105.64
21.14,374.99,19.61,24.8,12.18,0.48,66.36,0.07,1.06,1,44.5,-69.15,105.64
21.14,374.99,19.61,24.8,12.18,0.48,165.68,0.06,1.01,1,44.5,-69.15,105.64
20.94,364.26,19.94,22.19,9.95,0.43,591.93,0.03,1.35,1,45.04,-67.64,80.61
20.94,364.26,19.94,22.19,9.95,0.36,390.2,0.03,1.54,1,45.04,-67.64,80.61
20.94,364.26,19.94,22.19,9.95,0.4,483.88,0.05,1.43,1,45.04,-67.64,80.61
25.09,327.99,19.57,23.2,12.06,0.5,160.89,0.07,0.93,1,45.84,-69.28,324.8
25.09,344.22,19.27,23.72,11.25,0.5,58.87,0.06,0.98,1,45.84,-69.28,324.8
25.09,344.22,19.27,23.72,11.25,0.5,160.89,0.07,0.93,1,45.84,-69.28,324.8
17.3,344.22,19.27,23.72,11.25,0.36,67.69,0.06,1.39,1,45.51,-69.96,357.62
17.3,344.22,19.27,23.72,11.25,0.4,17.65,0.31,1.55,1,45.51,-69.96,357.62
17.3,344.22,19.27,23.72,11.25,0.38,43.06,0.08,1.24,1,45.51,-69.96,357.62
,321.95,19.65,23.76,12.74,0.41,19.11,0.28,1.51,1,43.97,-69.86,35.37
,272.27,20.14,23.17,12.67,0.41,19.11,0.28,1.51,1,43.97,-69.86,35.37
,272.27,20.14,23.17,12.67,0.42,10.05,0.36,1.58,1,43.97,-69.86,35.37
30.72,375.88,18.53,21.68,9.81,0.43,47.93,0.19,1.27,1,46.66,-68.6,260.17
30.72,386.01,18.53,22.75,10.12,0.43,47.93,0.19,1.27,1,46.66,-68.6,260.17
30.72,386.01,18.53,22.75,10.12,0.4,39.41,0.14,1.33,1,46.66,-68.6,260.17
27.1,327.99,19.57,23.2,12.06,0.37,62.19,0.07,1.34,1,45.4,-68.65,130.96
27.1,327.99,19.57,23.2,12.06,0.35,54.06,0.07,1.44,1,45.4,-68.65,130.96
27.1,327.99,19.57,23.2,12.06,0.38,37.35,0.08,1.19,1,45.4,-68.65,130.96
13.13,321.95,19.65,23.76,12.74,0.4,34.12,0.3,1.46,1,44.41,-69.77,87.01
13.13,321.95,19.65,23.76,12.74,0.34,80.46,0.07,1.6,1,44.41,-69.77,87.01
13.13,344.22,19.27,23.72,11.25,0.4,34.12,0.3,1.46,1,44.41,-69.77,87.01
22.68,341.77,20.05,23.17,12.64,0.44,91.18,0.07,1.23,1,44.07,-69.55,42.7
22.68,341.77,20.05,23.17,12.64,0.46,62.64,0.07,1.13,1,44.07,-69.55,42.7
