obs_yield,precip,rad,maxt,mint,sat,hyd,clay,bulk,water,lat,long,elev
31.7,377.2,19.42,25.98,12.53,0.43,753.36,0.04,1.23,1,43.48,-70.72,92.36
31.7,377.2,19.42,25.98,12.53,0.48,717.67,0.04,1.13,1,43.48,-70.72,92.36
31.7,377.2,19.42,25.98,12.53,0.41,1018.21,0.04,1.34,1,43.48,-70.72,92.36
39.9,339.78,19.23,23.8,11.32,0.47,124.82,0.07,1.08,1,44.97,-70.44,471.2
39.9,339.78,19.23,23.8,11.32,0.43,94.35,0.08,1.13,1,44.97,-70.44,471.2
39.9,339.78,19.23,23.8,11.32,0.43,72.21,0.08,1.2,1,44.97,-70.44,471.2
37.88,330.57,19.91,24.84,13.94,0.43,504.38,0.03,1.29,1,44.17,-70.21,103.48
37.88,330.57,19.91,24.84,13.94,0.4,69.36,0.1,1.33,1,44.17,-70.21,103.48
37.88,330.57,19.91,24.84,13.94,0.39,71.27,0.07,1.24,1,44.17,-70.21,103.48
38.11,370.29,19.59,24.88,12.25,0.39,18.84,0.26,1.44,1,44.5,-69.15,105.64
38.11,370.29,19.59,24.88,12.25,0.48,66.36,0.07,1.06,1,44.5,-69.15,105.64
38.11,370.29,19.59,24.88,12.25,0.48,165.68,0.06,1.01,1,44.5,-69.15,105.64
,355.86,19.93,22.26,10.01,0.43,591.93,0.03,1.35,1,45.04,-67.64,80.61
,355.86,19.93,22.26,10.01,0.36,390.2,0.03,1.54,1,45.04,-67.64,80.61
,355.86,19.93,22.26,10.01,0.4,483.88,0.05,1.43,1,45.04,-67.64,80.61
36.94,323.69,19.56,23.25,12.11,0.5,160.89,0.07,0.93,1,45.84,-69.28,324.8
36.94,339.78,19.23,23.8,11.32,0.5,58.87,0.06,0.98,1,45.84,-69.28,324.8
36.94,339.78,19.23,23.8,11.32,0.5,160.89,0.07,0.93,1,45.84,-69.28,324.8
37.8,339.78,19.23,23.8,11.32,0.36,67.69,0.06,1.39,1,45.51,-69.96,357.62
37.8,339.78,19.23,23.8,11.32,0.4,17.65,0.31,1.55,1,45.51,-69.96,357.62
37.8,339.78,19.23,23.8,11.32,0.38,43.06,0.08,1.24,1,45.51,-69.96,357.62
,316.19,19.63,23.83,12.81,0.41,19.11,0.28,1.51,1,43.97,-69.86,35.37
,267.6,20.11,23.22,12.74,0.41,19.11,0.28,1.51,1,43.97,-69.86,35.37
,267.6,20.11,23.22,12.74,0.42,10.05,0.36,1.58,1,43.97,-69.86,35.37
34.88,369.01,18.51,21.73,9.86,0.43,47.93,0.19,1.27,1,46.66,-68.6,260.17
34.88,380.15,18.5,22.82,10.2,0.43,47.93,0.19,1.27,1,46.66,-68.6,260.17
34.88,380.15,18.5,22.82,10.2,0.4,39.41,0.14,1.33,1,46.66,-68.6,260.17
35.51,323.69,19.56,23.25,12.11,0.37,62.19,0.07,1.34,1,45.4,-68.65,130.96
35.51,323.69,19.56,23.25,12.11,0.35,54.06,0.07,1.44,1,45.4,-68.65,130.96
35.51,323.69,19.56,23.25,12.11,0.38,37.35,0.08,1.19,1,45.4,-68.65,130.96
38.33,316.19,19.63,23.83,12.81,0.4,34.12,0.3,1.46,1,44.41,-69.77,87.01
38.33,316.19,19.63,23.83,12.81,0.34,80.46,0.07,1.6,1,44.41,-69.77,87.01
38.33,339.78,19.23,23.8,11.32,0.4,34.12,0.3,1.46,1,44.41,-69.77,87.01
40.95,336.6,20,23.25,12.72,0.44,91.18,0.07,1.23,1,44.07,-69.55,42.7
40.95,336.6,20,23.25,12.72,0.46,62.64,0.07,1.13,1,44.07,-69.55,42.7
40.95,336.6,20,23.25,12.72,0.38,13.12,0.25,1.54,1,44.07,-69.55,42.7
,375.88,19.75,24.47,12.57,0.46,106.66,0.07,1.03,1,44.67,-68.36,80.92
,375.88,19.75,24.47,12.57,0.45,200.69,0.04,1.05,1,44.67,-68.36,80.92
,323.69,19.56,23.25,12.11,0.37,427.84,0.03,1.46,1,44.67,-68.36,80.92
34.82,394.63,19.8,23.12,12.83,0.56,197.67,0.07,0.72,1,44.15,-69.18,61.33
34.82,394.63,19.8,23.12,12.83,0.46,62.64,0.07,1.13,1,44.15,-69.18,61.33
34.82,394.63,19.8,23.12,12.83,0.48,167.24,0.06,0.98,1,44.15,-69.18,61.33
37.44,374.46,19.2,23.73,10.63,0.44,49.24,0.09,1.16,1,44.5,-70.76,358.44
37.44,374.46,19.2,23.73,10.63,0.44,138.06,0.05,1.13,1,44.5,-70.76,358.44
37.44,374.46,19.2,23.73,10.63,0.43,135.82,0.07,1.2,1,44.5,-70.76,358.44
36.36,282.82,20.52,23.33,12.39,0.36,13.92,0.3,1.55,1,43.85,-70.41,83.2
36.36,282.82,20.52,23.33,12.39,0.39,12.93,0.36,1.53,1,43.85,-70.41,83.2
36.36,282.82,20.52,23.33,12.39,0.44,631.81,0.03,1.27,1,43.85,-70.41,83.2
48.2,395.42,18.52,26.44,11.96,0.37,475.87,0.02,1.52,1,42.99,-72.71,417.75
48.2,351.99,18.21,25.47,12.05,0.35,51.06,0.06,1.41,1,42.99,-72.71,417.75
48.2,351.99,18.21,25.47,12.05,0.36,50.69,0.07,1.39,1,42.99,-72.71,417.75
40.04,408.15,18.47,23.05,10.65,0.38,74.66,0.06,1.41,1,44.01,-72.38,392.25
40.04,367.69,18.43,24.11,8.7,0.41,96.05,0.09,1.27,1,44.01,-72.38,392.25
40.04,367.69,18.43,24.11,8.7,0.33,51.35,0.07,1.62,1,44.01,-72.38,392.25
36.36,504.01,17.74,27.17,11.97,0.4,90.06,0.07,1.37,1,43.04,-73.09,523.37
36.36,504.01,17.74,27.17,11.97,0.37,198.85,0.09,1.54,1,43.04,-73.09,523.37
36.36,504.01,17.74,27.17,11.97,0.37,222.07,0.07,1.52,1,43.04,-73.09,523.37
37.8,744.3,18.95,16.68,9.12,,,,,1,44.61,-72.64,395.82
37.8,744.3,18.95,16.68,9.12,,,,,1,44.61,-72.64,395.82
37.8,744.3,18.95,16.68,9.12,,,,,1,44.61,-72.64,395.82
36.09,353.49,19.25,24.25,12.77,0.32,14.76,0.2,1.66,1,44.8,-73.29,34.27
36.09,353.49,19.25,24.25,12.77,0.4,2.41,0.66,1.7,1,44.8,-73.29,34.27
36.09,455.42,19,24.81,11.95,0.4,2.41,0.66,1.7,1,44.8,-73.29,34.27
39.5,353.49,19.25,24.25,12.77,0.41,1,0.69,1.69,1,44.46,-73.08,204.15
39.5,353.49,19.25,24.25,12.77,0.36,55.89,0.06,1.37,1,44.46,-73.08,204.15
39.5,353.49,19.25,24.25,12.77,0.45,3.18,0.72,1.55,1,44.46,-73.08,204.15
34.3,375.64,18.48,25.36,12.72,0.41,1,0.7,1.7,1,44.03,-73.14,256.66
34.3,375.64,18.48,25.36,12.72,0.4,145.8,0.05,1.41,1,44.03,-73.14,256.66
34.3,375.64,18.48,25.36,12.72,0.45,3.18,0.72,1.55,1,44.03,-73.14,256.66
40.53,417.39,18.35,24.06,11.24,0.39,61.18,0.08,1.29,1,44.83,-72.24,405.67
40.53,417.39,18.35,24.06,11.24,0.39,61.18,0.08,1.29,1,44.83,-72.24,405.67
40.53,417.39,18.35,24.06,11.24,0.39,116.48,0.05,1.36,1,44.83,-72.24,405.67
40.44,455.42,19,24.81,11.95,0.46,168.88,0.07,1.12,1,44.86,-72.91,201.48
40.44,455.42,19,24.81,11.95,0.36,90.74,0.03,1.46,1,44.86,-72.91,201.48
40.44,455.42,19,24.81,11.95,0.33,57.66,0.07,1.65,1,44.86,-72.91,201.48
39.18,390.13,18.43,25.29,11.9,0.37,48.87,0.08,1.41,1,44.46,-72.1,418.39
39.18,390.13,18.43,25.29,11.9,0.36,26.19,0.13,1.51,1,44.46,-72.1,418.39
39.18,390.13,18.43,25.29,11.9,0.41,19.41,0.35,1.52,1,44.46,-72.1,418.39
40.35,339.76,17.91,23.02,10.62,0.36,90.74,0.03,1.46,1,44.27,-72.61,414.89
40.35,339.76,17.91,23.02,10.62,0.46,168.88,0.07,1.12,1,44.27,-72.61,414.89
40.35,339.76,17.91,23.02,10.62,0.33,57.66,0.07,1.65,1,44.27,-72.61,414.89
39.05,351.99,18.21,25.47,12.05,0.3,50.92,0.05,1.72,1,43.58,-72.59,391.63
39.05,367.69,18.43,24.11,8.7,0.39,80.35,0.11,1.46,1,43.58,-72.59,391.63
39.05,332.98,18.72,24.76,9.96,0.39,62.82,0.09,1.33,1,43.58,-72.59,391.63
36.32,375.64,18.48,25.36,12.72,0.4,163.59,0.06,1.38,1,43.58,-73.04,384.09
36.32,428.96,18.12,25.64,12.23,0.4,163.59,0.06,1.38,1,43.58,-73.04,384.09
36.32,428.96,18.12,25.64,12.23,0.4,95.4,0.05,1.36,1,43.58,-73.04,384.09
38.56,466.04,18.52,20.8,8.03,0.41,3.79,0.6,1.7,1,44.73,-71.74,484.85
38.56,375.42,18.49,24.16,9.43,0.37,253.28,0.01,1.51,1,44.73,-71.74,484.85
38.56,375.42,18.49,24.16,9.43,0.39,288.89,0.05,1.39,1,44.73,-71.74,484.85
,380.9,19.07,26.15,15.75,0.31,41.98,0.05,1.59,1,41.71,-71.28,14.23
,380.9,19.07,26.15,15.75,0.44,158,0.05,1.21,1,41.71,-71.28,14.23
,380.9,19.07,26.15,15.75,0.36,70.42,0.08,1.53,1,41.71,-71.28,14.23
40.57,383.32,18.85,24.74,13.49,0.35,197,0.02,0.66,1,41.67,-71.59,90.27
40.57,383.32,18.85,24.74,13.49,0.42,415.4,0.03,1.33,1,41.67,-71.59,90.27
40.57,383.32,18.85,24.74,13.49,0.39,292.45,0.03,1.37,1,41.67,-71.59,90.27
33.54,380.9,19.07,26.15,15.75,0.35,67.42,0.06,1.4,1,41.87,-71.58,113.22
33.54,380.9,19.07,26.15,15.75,0.44,158,0.05,1.21,1,41.87,-71.58,113.22
33.54,380.9,19.07,26.15,15.75,0.36,70.42,0.08,1.53,1,41.87,-71.58,113.22
39.36,390.45,19.32,25.11,13.18,0.35,72.47,0.02,1.34,1,41.47,-71.62,43.66
39.36,390.45,19.32,25.11,13.18,0.35,66.05,0.06,1.31,1,41.47,-71.62,43.66
39.36,390.45,19.32,25.11,13.18,0.33,67.16,0.06,1.55,1,41.47,-71.62,43.66
41.02,325.47,19.11,24.11,15.9,0.34,31.76,0.09,1.56,1,41.56,-71.24,30.48
41.02,325.47,19.11,24.11,15.9,0.31,41.98,0.05,1.59,1,41.56,-71.24,30.48
41.02,325.47,19.11,24.11,15.9,0.33,38.65,0.07,1.53,1,41.56,-71.24,30.48
40.75,370.31,18.74,26.8,13.51,0.43,150,0.07,1.29,1,42.92,-71.72,200.78
40.75,372.89,18.74,25.74,12.62,0.48,365,0.06,1.15,1,42.92,-71.72,200.78
40.75,372.89,18.74,25.74,12.62,0.43,150,0.07,1.29,1,42.92,-71.72,200.78
33.76,337.77,19,25.83,12.16,0.48,193,0.06,1.05,1,42.99,-71.13,79.99
33.76,337.77,19,25.83,12.16,0.45,131,0.13,1.31,1,42.99,-71.13,79.99
33.76,337.77,19,25.83,12.16,0.4,119,0.06,1.33,1,42.99,-71.13,79.99
47.48,351.99,18.21,25.47,12.05,0.37,55,0.07,1.41,1,43.36,-72.22,360.98
47.48,351.99,18.21,25.47,12.05,0.38,63,0.07,1.36,1,43.36,-72.22,360.98
47.48,332.98,18.72,24.76,9.96,0.45,171,0.07,1.2,1,43.36,-72.22,360.98
41.92,335.79,18.86,25.46,11.47,0.36,67.96,0.06,1.49,1,43.52,-71.42,229.49
41.92,335.79,18.86,25.46,11.47,0.36,69.35,0.06,1.46,1,43.52,-71.42,229.49
41.92,389.77,18.4,24.29,9.29,0.41,129.58,0.06,1.38,1,43.52,-71.42,229.49
44.74,466.04,18.52,20.8,8.03,0.37,67.92,0.06,1.38,1,44.69,-71.31,568.09
44.74,466.04,18.52,20.8,8.03,0.38,66.47,0.06,1.22,1,44.69,-71.31,568.09
44.74,375.42,18.49,24.16,9.43,0.44,145.59,0.08,1.24,1,44.69,-71.31,568.09
39.17,420.78,18.82,24.97,11.52,0.43,118,0.07,1.29,1,43.87,-71.2,311.61
39.17,420.78,18.82,24.97,11.52,0.43,150,0.07,1.29,1,43.87,-71.2,311.61
39.17,420.78,18.82,24.97,11.52,0.41,94,0.06,1.34,1,43.87,-71.2,311.61
41.87,408.15,18.47,23.05,10.65,0.37,55,0.07,1.41,1,43.94,-71.82,455.5
41.87,389.77,18.4,24.29,9.29,0.38,113,0.03,1.46,1,43.94,-71.82,455.5
41.87,389.77,18.4,24.29,9.29,0.41,100,0.05,1.34,1,43.94,-71.82,455.5
43.09,335.79,18.86,25.46,11.47,0.4,118.81,0.04,1.37,1,43.3,-71.68,222.18
43.09,335.79,18.86,25.46,11.47,0.41,129.58,0.06,1.38,1,43.3,-71.68,222.18
43.09,335.79,18.86,25.46,11.47,0.33,197,0.02,1.73,1,43.3,-71.68,222.18
,334.38,19.17,23.84,14.22,0.39,266.8,0.03,1.45,1,41.4,-70.66,12.7
,334.38,19.17,23.84,14.22,0.44,410.38,0.05,1.32,1,41.4,-70.66,12.7
,334.38,19.17,23.84,14.22,0.39,312.98,0.04,1.47,1,41.4,-70.66,12.7
,319.35,19.05,23.87,15.57,0.38,231.81,0.04,1.51,1,41.28,-70.07,0
,319.35,19.05,23.87,15.57,0.37,83.89,0.06,1.56,1,41.28,-70.07,0
,319.35,19.05,23.87,15.57,0.46,597,0.03,1.29,1,41.28,-70.07,0
,355.42,18.98,24.46,14.04,0.45,570,0.03,1.29,1,41.73,-70.3,17.26
,319.35,19.05,23.87,15.57,0.39,449.76,0.02,1.47,1,41.73,-70.3,17.26
,319.35,19.05,23.87,15.57,0.45,570,0.03,1.29,1,41.73,-70.3,17.26
38.05,355.42,18.98,24.46,14.04,0.46,849,0.02,1.26,1,41.95,-70.81,24.61
38.05,355.42,18.98,24.46,14.04,0.36,676.96,0.01,1.56,1,41.95,-70.81,24.61
